"watch_order","stage_number","stage","priority","title","channel","video_url","duration","what_to_learn","project_caveat","stage_goal","checkpoint","project_guide","source_checked_on","verification"
"1","1","Plan the first build","Start here","DIY Scanning Electron Microscope - Overview","Applied Science","https://www.youtube.com/watch?v=VdjYVF4a6iU","14:57","See the complete gun, vacuum, scan and detector system in a working homemade SEM.","Different hardware and detector; this is an overview, not this project’s assembly manual.","Identify every purchased part and board revision; choose the specimen-current detector before considering the biased collector.","Record exact gun, heater, pump, lens and driver models; unresolved parts remain open.","README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"2","1","Plan the first build","Core","DIY Scanning Electron Microscope - Sources, Costs and References","Applied Science","https://www.youtube.com/watch?v=L6HxTk9tfQk","11:39","Understand subsystem sourcing and how a homemade microscope project is scoped.","Historical prices and availability are not a current shopping list.","Identify every purchased part and board revision; choose the specimen-current detector before considering the biased collector.","Record exact gun, heater, pump, lens and driver models; unresolved parts remain open.","README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"3","1","Plan the first build","Background","Scanning Electron Microscopy (SEM) Lecture: Principles, Techniques & Applications","The Kavli Nanoscience Institute at Caltech","https://www.youtube.com/watch?v=Zh21tp3aPEw","","Build a foundation in electron optics, signals and SEM imaging.","Lecture on general SEM principles; does not validate this prototype’s resolution.","Identify every purchased part and board revision; choose the specimen-current detector before considering the biased collector.","Record exact gun, heater, pump, lens and driver models; unresolved parts remain open.","README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"4","2","Practice and assemble PCBs","Core","EEVblog #180 - Soldering Tutorial Part 1 - Tools","EEVblog","https://www.youtube.com/watch?v=J5Sb21qbpEQ","27:14","Choose soldering tools and prepare a practical electronics workbench.","Use solder, flux and cleaning methods compatible with the fitted components.","Practice on a spare board, then populate and inspect the selected controller, detector and scan boards.","Inspect polarity, pin 1, bridges, joints and cleanliness against the actual BOM and assembly drawings.","detector-pcb/README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"5","2","Practice and assemble PCBs","Core","EEVblog #183 - Soldering Tutorial Part 2","EEVblog","https://www.youtube.com/watch?v=fYz5nIHH0iY","","Practice through-hole joints for connectors and larger components.","Practice on scrap first; reference the actual board orientation drawings.","Practice on a spare board, then populate and inspect the selected controller, detector and scan boards.","Inspect polarity, pin 1, bridges, joints and cleanliness against the actual BOM and assembly drawings.","detector-pcb/README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"6","2","Practice and assemble PCBs","Core","EEVblog #186 - Soldering Tutorial Part 3 - Surface Mount","EEVblog","https://www.youtube.com/watch?v=b9FC9fAlfQE","","Learn surface-mount placement and soldering for the controller and detector boards.","Inspect fine-pitch joints under magnification; a generic tutorial is not a board acceptance test.","Practice on a spare board, then populate and inspect the selected controller, detector and scan boards.","Inspect polarity, pin 1, bridges, joints and cleanliness against the actual BOM and assembly drawings.","detector-pcb/README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"7","2","Practice and assemble PCBs","If needed","EEVblog #434 - SMD Thermal Pad & Drag Soldering Tutorial","EEVblog","https://www.youtube.com/watch?v=588iV07nEdM","","Understand drag soldering and thermal-pad assembly techniques.","Use the package manufacturer’s land pattern and reflow guidance for exposed pads.","Practice on a spare board, then populate and inspect the selected controller, detector and scan boards.","Inspect polarity, pin 1, bridges, joints and cleanliness against the actual BOM and assembly drawings.","detector-pcb/README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"8","2","Practice and assemble PCBs","If needed","EEVblog #415 - SMD Stencil Reflow Soldering Tutorial","EEVblog","https://www.youtube.com/watch?v=qyDRHI4YeMI","","Learn stencil and paste workflow for boards with many surface-mount parts.","Select a suitable paste and thermal process for the actual parts and PCB.","Practice on a spare board, then populate and inspect the selected controller, detector and scan boards.","Inspect polarity, pin 1, bridges, joints and cleanliness against the actual BOM and assembly drawings.","detector-pcb/README.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"9","3","Assemble the vacuum system","Start here","Working with KF (QR) Vacuum Flange Components | Thorlabs Insights","Thorlabs","https://www.youtube.com/watch?v=7NRk9hVtlzA","","Learn inspection, cleaning, O-ring placement and clamping of KF joints.","Apply only to matching KF hardware; follow seal compatibility and cleanliness requirements.","Learn clean flange handling, seals, feedthrough installation and leak-test concepts.","Record a repeatable pump-down curve using the actual pump and gauge manuals; resolve leaks before adding beam power.","MOUNTING.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"10","3","Assemble the vacuum system","Background","ISO-KF flange system by Pfeiffer","Pfeiffer Vacuum+Fab Solutions","https://www.youtube.com/watch?v=vJZqIoCytl8","0:58","See how the centering ring, O-ring and clamp form a KF connection.","A short mechanism animation; use the detailed handling demonstration for assembly practice.","Learn clean flange handling, seals, feedthrough installation and leak-test concepts.","Record a repeatable pump-down curve using the actual pump and gauge manuals; resolve leaks before adding beam power.","MOUNTING.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
